;ID,   RA(2000),   Dec(2000),   Vlsr,      R,    d_R,   vrms, d_vrms,  vturb,d_vturb,        L,      d_L,     Mlum,   d_Mlum,   Tmax,    Omega,    Theta,      d
 ; ,    [h:m:s],     [d:m:s], [km/s],   [pc],   [pc], [km/s], [km/s],   [km/s],   [km/s],  [10^4*],  [10^4*],  [10^5*],  [10^5*],    [K],[km/s/pc], [degree],   [pc]
 119, 15:00:0.57,  1:53:31.56, 1339.4,  29.05,   6.95,   7.36,   2.67,   4.91,   3.47,    9.403,    1.929,    4.137,    0.849,    5.4,     0.14,    139.5,    670
 120, 15:00:0.56,  1:53:29.98, 1337.0,  17.40,  21.73,   3.78,   4.04,   1.50,   2.82,    5.850,    4.543,    2.574,    1.999,    4.2,     0.14,    220.6,    531
 121, 15:00:0.63,  1:53:35.57, 1338.5,   0.00,   0.00,   2.05,   1.72,   1.07,   2.50,    1.685,    1.723,    0.741,    0.758,    3.4,     0.02,     30.4,   1156
 122, 15:00:0.58,  1:53:37.52, 1335.6,   0.00,   0.00,   2.85,   2.98,   -NaN,    NaN,    2.165,    2.730,    0.953,    1.201,    4.3,     0.03,    300.4,   1256
 123, 15:00:0.25,  1:53:27.30, 1340.9,   0.00,   0.00,   1.34,   2.52,   0.74,   2.63,    2.189,    5.283,    0.963,    2.325,    4.1,     0.04,    320.3,    486
 124, 15:00:0.56,  1:53:29.19, 1339.6,  18.77,  13.77,   2.88,   1.46,   1.76,   1.42,    5.026,    1.272,    2.211,    0.560,    5.2,     0.10,     92.3,    494
 125, 15:00:0.59,  1:53:36.48, 1341.7,   0.00,   0.00,   2.55,   1.95,   1.61,   1.77,    1.840,    0.595,    0.810,    0.262,    3.8,     0.01,    351.2,   1159
 126, 15:00:0.25,  1:53:26.27, 1342.3,   0.00,   0.00,   2.82,   1.87,   1.95,   1.90,    2.063,    0.798,    0.908,    0.351,    3.5,     0.06,    285.1,    561
 127, 15:00:0.30,  1:53:29.09, 1344.2,   0.00,   0.00,   7.59,   3.39,   2.09,   2.79,    4.402,    2.743,    1.937,    1.207,    3.9,     0.18,    100.7,    264
 128, 15:00:0.35,  1:53:29.38, 1344.1,  24.67,  14.23,   3.01,   1.83,   1.91,   1.62,    4.224,    2.118,    1.858,    0.932,    4.2,     0.06,    309.2,    116
 129, 15:00:0.47,  1:53:28.14, 1343.8,   0.00,   0.00,   3.14,   1.86,   2.86,   1.98,    1.948,    0.429,    0.857,    0.189,    4.4,     0.08,    235.2,    220
 130, 15:00:0.28,  1:53:28.81, 1348.1,   0.00,   0.00,   2.66,   4.22,   0.62,   1.56,    1.771,    1.671,    0.779,    0.735,    3.6,     0.09,    258.1,    323
 131, 15:00:0.57,  1:53:30.18, 1349.4,  28.40,   4.89,   7.16,   1.27,   5.55,   1.16,   15.351,    2.697,    6.755,    1.187,    4.8,     0.10,    307.1,    581
 132, 15:00:0.56,  1:53:31.48, 1347.7,   0.00,   0.00,   2.69,   4.91,   0.37,   0.84,   10.394,    8.147,    4.573,    3.585,    4.5,     0.05,    248.6,    646
 133, 15:00:0.28,  1:53:26.62, 1346.2,   0.00,   0.00,   3.04,   1.91,   1.77,   1.42,    2.856,    1.455,    1.256,    0.640,    3.6,     0.12,    169.7,    447
