;ID,   RA(2000),   Dec(2000),   Vlsr,      R,    d_R,   vrms, d_vrms,  vturb,d_vturb,        L,      d_L,     Mlum,   d_Mlum,   Tmax,    Omega,  d_Omega,    Theta,  d_Theta,      d
 ; ,    [h:m:s],     [d:m:s], [km/s],   [pc],   [pc], [km/s], [km/s],   [km/s],   [km/s],  [10^4*],  [10^4*],  [10^5*],  [10^5*],    [K],[km/s/pc],[km/s/pc], [degree], [degree],   [pc]
 173, 12:27:26.6,  11:06:27.3, 1244.6,  16.39,   6.63,  10.91,   2.06,   5.18,   1.91,     3.88,     0.69,     1.81,     0.32,    3.4,     0.95,     0.31,     109.,      17.,    111
 174, 12:27:26.7,  11:06:28.7, 1251.2,   0.00,   0.00,   7.66,   2.66,   2.71,   1.42,     1.21,     0.58,     0.57,     0.27,    3.1,     0.00,     0.00,       0.,       0.,    351
 175, 12:27:26.7,  11:06:29.0, 1248.9,   0.00,   0.00,   2.50,   1.30,   1.51,   1.36,     0.76,     0.33,     0.35,     0.16,    2.7,     0.00,     0.00,       0.,       0.,    411
 176, 12:27:26.7,  11:06:26.3, 1251.4,   0.00,   0.00,   3.51,   1.28,   2.72,   1.67,     0.97,     0.42,     0.45,     0.19,    2.9,     0.00,     0.00,       0.,       0.,    336
 177, 12:27:26.6,  11:06:26.9, 1249.7,  20.79,   5.57,   7.69,   1.55,   3.43,   1.16,     4.19,     0.56,     1.95,     0.26,    3.8,     0.48,     0.11,     147.,      19.,    207
 178, 12:27:26.6,  11:06:27.8, 1254.3,   0.00,   0.00,   4.56,   1.67,   2.42,   1.12,     1.16,     0.44,     0.54,     0.21,    3.1,     0.00,     0.00,       0.,       0.,    113
 179, 12:27:26.7,  11:06:28.3, 1254.9,  20.82,   3.19,   4.89,   0.69,   3.84,   0.66,     4.81,     0.58,     2.24,     0.27,    4.3,     0.15,     0.02,     230.,      13.,    257
 180, 12:27:26.7,  11:06:26.2, 1257.9,   0.00,   0.00,   4.30,   1.17,   2.47,   1.14,     1.25,     0.27,     0.58,     0.12,    4.3,     0.00,     0.00,       0.,       0.,    373
 181, 12:27:26.7,  11:06:26.7, 1261.8,  19.78,   2.99,   7.22,   1.20,   3.69,   0.93,     4.16,     0.56,     1.94,     0.26,    3.7,     0.50,     0.09,     117.,      12.,    256
 182, 12:27:26.6,  11:06:27.9, 1266.0,  15.47,   3.09,   6.48,   1.27,   3.47,   0.89,     2.47,     0.42,     1.15,     0.20,    4.0,     0.34,     0.13,     285.,      28.,    183
 183, 12:27:26.6,  11:06:27.5, 1260.5,  32.38,   2.85,  10.73,   1.20,   4.63,   0.56,    11.29,     0.45,     5.26,     0.21,    7.1,     0.19,     0.01,     177.,       9.,     97
 184, 12:27:26.7,  11:06:28.2, 1266.1,  17.17,   3.42,   5.09,   1.25,   4.05,   1.09,     3.29,     0.52,     1.53,     0.24,    3.8,     0.11,     0.05,     185.,      28.,    264
 185, 12:27:26.7,  11:06:26.3, 1266.5,  13.55,   5.67,   4.76,   1.39,   2.69,   0.80,     2.80,     0.40,     1.30,     0.18,    3.8,     0.25,     0.05,     177.,      21.,    358
 186, 12:27:26.7,  11:06:27.1, 1274.2,  17.32,   5.25,   4.46,   1.42,   1.77,   0.89,     1.77,     0.39,     0.82,     0.18,    3.2,     0.18,     0.07,     163.,      36.,    209
 187, 12:27:26.6,  11:06:27.6, 1270.6,  25.10,   2.14,   6.85,   1.01,   2.98,   0.46,     5.92,     0.40,     2.76,     0.18,    6.3,     0.18,     0.02,     208.,      10.,    140
 188, 12:27:26.7,  11:06:27.9, 1272.2,   0.00,   0.00,   4.03,   1.23,   3.20,   1.25,     1.28,     0.31,     0.59,     0.15,    3.6,     0.00,     0.00,       0.,       0.,    212
 189, 12:27:26.7,  11:06:28.5, 1272.7,  25.24,   4.62,   6.78,   1.10,   3.23,   0.78,     3.69,     0.56,     1.72,     0.26,    3.7,     0.35,     0.05,     201.,      16.,    339
 190, 12:27:26.7,  11:06:26.6, 1275.1,  16.20,   7.64,   5.63,   1.38,   2.93,   0.92,     2.63,     0.49,     1.22,     0.23,    3.7,     0.26,     0.07,      90.,      34.,    308
